enemy,map,spawn,result,reason,tac type(our),tac type(enemy),じゃいこ,ららら,ちちろー,のーみーと,いーじー,すらもん,えっぐ,くろ,かなむ,かげろー,のべ,ばっこん,,,,
101AD,Desert Sands,北,勝ち,キャプ,両受け,ラッシュ,LT,主力HT,,LT,主力HT,,火力枠,主力HT,,,主力HT,,,,,
101AD,Desert Sands,南,負け,殲滅,両受け,両攻め,LT,主力HT,,主力HT,主力HT,,火力枠,,,,主力HT,主力HT,,,,
101AD,Faust,北,負け,殲滅,両受け,ラッシュ,LT,主力HT,,主力HT,主力HT,,火力枠,,,,主力HT,主力HT,,,,
101AD,Faust,南,勝ち,殲滅,両受け,両攻め,LT,主力HT,,主力HT,主力HT,,主力HT,,,,主力HT,主力HT,,,,
101AD,Alpen,北,負け,殲滅,両受け,両受け,LT,主力HT,,主力HT,主力HT,,火力枠,主力HT,,,火力枠,,,,,
101AD,Alpen,南,負け,殲滅,両受け,両受け,LT,主力HT,,火力枠,主力HT,,主力HT,主力HT,,,火力枠,,,,,
101AD,BGV,北,負け,キャプ,両受け,両受け,LT,主力HT,,主力HT,主力HT,,主力HT,主力HT,,,主力HT,,,,,
101AD,BGV,南,負け,キャプ,両受け,両受け,LT,主力HT,,主力HT,主力HT,,主力HT,主力HT,,,主力HT,,,,,
101AD,Canal,北,勝ち,殲滅,両受け,ラッシュ,LT,主力HT,火力枠,LT,,,,主力HT,主力HT,,,主力HT,,,,
101AD,Canal,南,勝ち,キャプ,両受け,両受け,LT,主力HT,主力HT,LT,,,,主力HT,主力HT,,,主力HT,,,,
101AD,Castilla,北,負け,キャプ,両受け,両受け,LT,主力HT,火力枠,主力HT,,,,主力HT,,主力HT,,主力HT,,,,
101AD,Castilla,南,勝ち,殲滅,両攻め,ラッシュ,LT,,主力HT,主力HT,,,,主力HT,主力HT,主力HT,,主力HT,,,,
101AD,Fort　Despair,北,負け,キャプ,両受け,両受け,主力HT,主力HT,火力枠,,,,,主力HT,主力HT,主力HT,,主力HT,,,,
101AD,Fort　Despair,南,勝ち,殲滅,両受け,両受け,火力枠,主力HT,火力枠,,,,,主力HT,主力HT,主力HT,,主力HT,,,,
101AD,Hellas,北,勝ち,殲滅,両受け,ラッシュ,主力HT,主力HT,火力枠,LT,,,,主力HT,主力HT,主力HT,,,,,,
101AD,Hellas,南,勝ち,殲滅,両受け,両攻め,主力HT,主力HT,火力枠,LT,,,,主力HT,主力HT,主力HT,,,,,,
RORY,Ghost Factory,北,負け,キャプ,両攻め,ラッシュ,LT,火力枠,,,火力枠,,主力HT,主力HT,主力HT,主力HT,,,,,,
RORY,Ghost Factory,南,勝ち,殲滅,両攻め,両受け,主力HT,火力枠,,,火力枠,,主力HT,主力HT,主力HT,主力HT,,,,,,
RORY,Dynasty’s Pearl,北,勝ち,キャプ,両受け,両受け,主力HT,火力枠,,,主力HT,,火力枠,主力HT,主力HT,主力HT,,,,,,
RORY,Dynasty’s Pearl,南,勝ち,キャプ,両受け,両受け,主力HT,火力枠,,,主力HT,,火力枠,主力HT,主力HT,主力HT,,,,,,
RORY,Mayan Ruins,北,負け,キャプ,両受け,両受け,LT,火力枠,,,主力HT,,火力枠,主力HT,主力HT,主力HT,,,,,,
RORY,Mayan Ruins,南,勝ち,キャプ,両受け,両受け,LT,火力枠,,,主力HT,,火力枠,主力HT,火力枠,主力HT,,,,,,
RORY,Middleburg,北,負け,キャプ,両受け,両受け,LT,主力HT,,,主力HT,,火力枠,主力HT,主力HT,主力HT,,,,,,
RORY,Middleburg,南,勝ち,殲滅,両受け,ラッシュ,火力枠,主力HT,,,主力HT,,主力HT,主力HT,主力HT,主力HT,,,,,,
UQ,Rockfield,北,勝ち,殲滅,両受け,両受け,,,火力枠,,主力HT,主力HT,主力HT,,LT,主力HT,,主力HT,,,,
UQ,Rockfield,南,負け,殲滅,ラッシュ,両受け,,,火力枠,,主力HT,主力HT,主力HT,,主力HT,主力HT,,主力HT,,,,
UQ,Vineyards,北,勝ち,キャプ,両攻め,ラッシュ,LT,,火力枠,,,主力HT,主力HT,,主力HT,主力HT,,主力HT,,,,
UQ,Vineyards,南,勝ち,キャプ,両攻め,両受け,LT,,火力枠,,,主力HT,主力HT,,主力HT,主力HT,,主力HT,,,,
UQ,Molendijk,北,勝ち,殲滅,ラッシュ,ラッシュ,LT,,火力枠,,主力HT,主力HT,主力HT,,主力HT,,,主力HT,,,,
UQ,Molendijk,南,勝ち,殲滅,両攻め,ラッシュ,LT,,火力枠,,主力HT,主力HT,主力HT,,主力HT,,,主力HT,,,,
UQ,New Bay,北,勝ち,殲滅,両受け,両攻め,LT,,火力枠,,主力HT,主力HT,,主力HT,,主力HT,,主力HT,,,,
UQ,New Bay,南,勝ち,殲滅,両受け,両受け,主力HT,,火力枠,,主力HT,主力HT,,主力HT,,主力HT,,主力HT,,,,
SZ,Mayan Ruins,北,負け,殲滅,ラッシュ,両受け,,主力HT,火力枠,LT,,主力HT,主力HT,,,主力HT,主力HT,,,,,
SZ,Mayan Ruins,南,負け,殲滅,ラッシュ,両受け,,主力HT,火力枠,LT,,主力HT,主力HT,,,主力HT,主力HT,,,,,
SZ,Yukon,北,負け,キャプ,ラッシュ,両受け,LT,主力HT,火力枠,,,主力HT,,主力HT,,主力HT,主力HT,,,,,
SZ,Yukon,南,負け,殲滅,ラッシュ,両受け,LT,,火力枠,,,主力HT,,主力HT,主力HT,主力HT,主力HT,,,,,
SZ,Oasis,北,勝ち,殲滅,ラッシュ,両受け,LT,,火力枠,,,主力HT,主力HT,主力HT,主力HT,,主力HT,,,,,
SZ,Oasis,南,勝ち,キャプ,ラッシュ,両受け,主力HT,,火力枠,LT,,主力HT,,主力HT,主力HT,,主力HT,,,,,
SZ,Winter Malinovka,北,負け,殲滅,ラッシュ,両受け,主力HT,,火力枠,LT,,主力HT,,主力HT,主力HT,,主力HT,,,,,
SZ,Winter Malinovka,南,負け,キャプ,ラッシュ,両受け,主力HT,,火力枠,LT,,主力HT,,主力HT,主力HT,,主力HT,,,,,
SZ,Rockfield,北,負け,キャプ,両受け,両受け,火力枠,,火力枠,LT,,主力HT,主力HT,,主力HT,,主力HT,,,,,
SZ,Rockfield,南,負け,殲滅,ラッシュ,両受け,主力HT,,火力枠,主力HT,,主力HT,主力HT,,主力HT,,主力HT,,,,,
101AD,Normandy,北,負け,殲滅,ラッシュ,両受け,火力枠,主力HT,,LT,主力HT,主力HT,,,主力HT,主力HT,,,,,,
101AD,Normandy,南,勝ち,殲滅,ラッシュ,両受け,主力HT,主力HT,,LT,主力HT,主力HT,,,火力枠,主力HT,,,,,,
101AD,Port Bay,北,負け,殲滅,両受け,両受け,火力枠,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,,,,
101AD,Port Bay,南,負け,殲滅,両受け,両受け,主力HT,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,,,,
101AD,Naval Frontier,北,勝ち,殲滅,両受け,ラッシュ,火力枠,主力HT,,LT,,主力HT,,主力HT,主力HT,,主力HT,,,,,
101AD,Naval Frontier,南,負け,殲滅,両受け,ラッシュ,主力HT,主力HT,,LT,,主力HT,,主力HT,主力HT,,主力HT,,,,,
101AD,Faust,北,負け,殲滅,両受け,両攻め,LT,,,,火力枠,主力HT,,主力HT,主力HT,主力HT,主力HT,,,,,
101AD,Faust,南,勝ち,殲滅,両受け,ラッシュ,LT,,,,火力枠,主力HT,,主力HT,主力HT,主力HT,主力HT,,,,,
101AD,Desert Sands,北,負け,殲滅,両受け,ラッシュ,LT,主力HT,,LT,火力枠,主力HT,,主力HT,,主力HT,,,,,,
101AD,Desert Sands,南,勝ち,殲滅,両受け,ラッシュ,LT,主力HT,,主力HT,火力枠,主力HT,,主力HT,,主力HT,,,,,,
101AD,Yukon,北,負け,殲滅,両攻め,ラッシュ,火力枠,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,,,,
101AD,Yukon,南,勝ち,殲滅,両攻め,両受け,LT,主力HT,,,火力枠,主力HT,,主力HT,,主力HT,主力HT,,,,,
L4ST,Alpen,北,勝ち,殲滅,両受け,両受け,LT,主力HT,,,火力枠,主力HT,主力HT,主力HT,,,主力HT,,,,,
L4ST,Alpen,南,勝ち,キャプ,両受け,両受け,LT,主力HT,,,火力枠,主力HT,主力HT,主力HT,,,主力HT,,,,,
L4ST,BGV,北,負け,キャプ,両受け,ラッシュ,LT,主力HT,,,主力HT,,主力HT,主力HT,主力HT,,主力HT,,,,,
L4ST,BGV,南,負け,殲滅,両受け,ラッシュ,火力枠,主力HT,,,主力HT,主力HT,,主力HT,主力HT,,主力HT,,,,,
L4ST,Port Bay,北,負け,殲滅,ラッシュ,ラッシュ,主力HT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,,,,
L4ST,Port Bay,南,勝ち,殲滅,ラッシュ,ラッシュ,LT,主力HT,,,主力HT,主力HT,火力枠,主力HT,火力枠,,,,,,,
L4ST,Winter Malinovka,北,負け,殲滅,両受け,両受け,LT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,,,,
L4ST,Winter Malinovka,南,勝ち,キャプ,両受け,両受け,LT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
